#K-Path             Spin-Up       Spin-Down
#Band-index    1
  1.190      -36.1400      -36.1400
  1.156      -36.1400      -36.1400
  1.122      -36.1400      -36.1400
  1.088      -36.1400      -36.1400
  1.054      -36.1400      -36.1400
  1.020      -36.1400      -36.1400
  0.986      -36.1400      -36.1400
  0.951      -36.1400      -36.1400
  0.917      -36.1400      -36.1400
  0.917      -36.1400      -36.1400
  0.893      -36.1400      -36.1400
  0.869      -36.1400      -36.1400
  0.845      -36.1400      -36.1400
  0.821      -36.1400      -36.1400
  0.797      -36.1400      -36.1400
  0.772      -36.1400      -36.1400
  0.748      -36.1400      -36.1400
  0.724      -36.1400      -36.1400
  0.700      -36.1400      -36.1400
  0.676      -36.1400      -36.1400
  0.652      -36.1400      -36.1400
  0.628      -36.1400      -36.1400
  0.604      -36.1400      -36.1400
  0.579      -36.1400      -36.1400
  0.555      -36.1400      -36.1400
  0.531      -36.1400      -36.1400
  0.507      -36.1400      -36.1400
  0.483      -36.1400      -36.1400
  0.459      -36.1400      -36.1400
  0.459      -36.1400      -36.1400
  0.435      -36.1400      -36.1400
  0.410      -36.1400      -36.1400
  0.386      -36.1400      -36.1400
  0.362      -36.1400      -36.1400
  0.338      -36.1400      -36.1400
  0.314      -36.1400      -36.1400
  0.290      -36.1400      -36.1400
  0.266      -36.1400      -36.1400
  0.241      -36.1400      -36.1400
  0.217      -36.1400      -36.1400
  0.193      -36.1400      -36.1400
  0.169      -36.1400      -36.1400
  0.145      -36.1400      -36.1400
  0.121      -36.1400      -36.1400
  0.097      -36.1400      -36.1400
  0.072      -36.1400      -36.1400
  0.048      -36.1400      -36.1400
  0.024      -36.1400      -36.1400
  0.000      -36.1400      -36.1400
#Band-index    3
  0.000      -36.1400      -36.1400
  0.024      -36.1400      -36.1400
  0.048      -36.1400      -36.1400
  0.072      -36.1400      -36.1400
  0.097      -36.1400      -36.1400
  0.121      -36.1400      -36.1400
  0.145      -36.1400      -36.1400
  0.169      -36.1400      -36.1400
  0.193      -36.1400      -36.1400
  0.217      -36.1400      -36.1400
  0.241      -36.1400      -36.1400
  0.266      -36.1400      -36.1400
  0.290      -36.1400      -36.1400
  0.314      -36.1400      -36.1400
  0.338      -36.1400      -36.1400
  0.362      -36.1400      -36.1400
  0.386      -36.1400      -36.1400
  0.410      -36.1400      -36.1400
  0.435      -36.1400      -36.1400
  0.459      -36.1400      -36.1400
  0.459      -36.1400      -36.1400
  0.483      -36.1400      -36.1400
  0.507      -36.1400      -36.1400
  0.531      -36.1400      -36.1400
  0.555      -36.1400      -36.1400
  0.579      -36.1400      -36.1400
  0.604      -36.1400      -36.1400
  0.628      -36.1400      -36.1400
  0.652      -36.1400      -36.1400
  0.676      -36.1400      -36.1400
  0.700      -36.1400      -36.1400
  0.724      -36.1400      -36.1400
  0.748      -36.1400      -36.1400
  0.772      -36.1400      -36.1400
  0.797      -36.1400      -36.1400
  0.821      -36.1400      -36.1400
  0.845      -36.1400      -36.1400
  0.869      -36.1400      -36.1400
  0.893      -36.1400      -36.1400
  0.917      -36.1400      -36.1400
  0.917      -36.1400      -36.1400
  0.951      -36.1400      -36.1400
  0.986      -36.1400      -36.1400
  1.020      -36.1400      -36.1400
  1.054      -36.1400      -36.1400
  1.088      -36.1400      -36.1400
  1.122      -36.1400      -36.1400
  1.156      -36.1400      -36.1400
  1.190      -36.1400      -36.1400
  1.225      -36.1400      -36.1400
  1.259      -36.1400      -36.1400
  1.293      -36.1400      -36.1400
  1.327      -36.1400      -36.1400
  1.361      -36.1400      -36.1400
  1.395      -36.1400      -36.1400
  1.429      -36.1400      -36.1400
  1.464      -36.1400      -36.1400
  1.498      -36.1400      -36.1400
  1.532      -36.1400      -36.1400
  1.566      -36.1400      -36.1400
  1.566      -36.1400      -36.1400
  1.582      -36.1400      -36.1400
  1.598      -36.1400      -36.1400
  1.614      -36.1400      -36.1400
  1.631      -36.1400      -36.1400
  1.647      -36.1400      -36.1400
  1.663      -36.1400      -36.1400
  1.679      -36.1400      -36.1400
  1.695      -36.1400      -36.1400
  1.711      -36.1400      -36.1400
  1.727      -36.1400      -36.1400
  1.743      -36.1400      -36.1400
  1.760      -36.1400      -36.1400
  1.776      -36.1400      -36.1400
  1.792      -36.1400      -36.1400
  1.808      -36.1400      -36.1400
  1.824      -36.1400      -36.1400
  1.840      -36.1400      -36.1400
  1.856      -36.1400      -36.1400
  1.873      -36.1400      -36.1400
  1.873      -36.1400      -36.1400
  1.897      -36.1400      -36.1400
  1.921      -36.1400      -36.1400
  1.945      -36.1400      -36.1400
  1.969      -36.1400      -36.1400
  1.993      -36.1400      -36.1400
  2.017      -36.1400      -36.1400
  2.042      -36.1400      -36.1400
  2.066      -36.1400      -36.1400
  2.090      -36.1400      -36.1400
  2.114      -36.1400      -36.1400
  2.138      -36.1400      -36.1400
  2.162      -36.1400      -36.1400
  2.186      -36.1400      -36.1400
  2.210      -36.1400      -36.1400
  2.235      -36.1400      -36.1400
  2.259      -36.1400      -36.1400
  2.283      -36.1400      -36.1400
  2.307      -36.1400      -36.1400
  2.331      -36.1400      -36.1400
  2.331      -36.1400      -36.1400
  2.355      -36.1400      -36.1400
  2.379      -36.1400      -36.1400
  2.404      -36.1400      -36.1400
  2.428      -36.1400      -36.1400
  2.452      -36.1400      -36.1400
  2.476      -36.1400      -36.1400
  2.500      -36.1400      -36.1400
  2.524      -36.1400      -36.1400
  2.548      -36.1400      -36.1400
  2.573      -36.1400      -36.1400
  2.597      -36.1400      -36.1400
  2.621      -36.1400      -36.1400
  2.645      -36.1400      -36.1400
  2.669      -36.1400      -36.1400
  2.693      -36.1400      -36.1400
  2.717      -36.1400      -36.1400
  2.742      -36.1400      -36.1400
  2.766      -36.1400      -36.1400
  2.790      -36.1400      -36.1400
  2.790      -36.1400      -36.1400
  2.824      -36.1400      -36.1400
  2.858      -36.1400      -36.1400
  2.892      -36.1400      -36.1400
  2.926      -36.1400      -36.1400
  2.961      -36.1400      -36.1400
  2.995      -36.1400      -36.1400
  3.029      -36.1400      -36.1400
  3.063      -36.1400      -36.1400
  3.097      -36.1400      -36.1400
  3.131      -36.1400      -36.1400
  3.165      -36.1400      -36.1400
  3.200      -36.1400      -36.1400
  3.234      -36.1400      -36.1400
  3.268      -36.1400      -36.1400
  3.302      -36.1400      -36.1400
  3.336      -36.1400      -36.1400
  3.370      -36.1400      -36.1400
  3.404      -36.1400      -36.1400
  3.438      -36.1400      -36.1400
  3.438      -36.1400      -36.1400
  3.455      -36.1400      -36.1400
  3.471      -36.1400      -36.1400
  3.487      -36.1400      -36.1400
  3.503      -36.1400      -36.1400
  3.519      -36.1400      -36.1400
  3.535      -36.1400      -36.1400
  3.551      -36.1400      -36.1400
  3.568      -36.1400      -36.1400
  3.584      -36.1400      -36.1400
  3.600      -36.1400      -36.1400
  3.616      -36.1400      -36.1400
  3.632      -36.1400      -36.1400
  3.648      -36.1400      -36.1400
  3.664      -36.1400      -36.1400
  3.681      -36.1400      -36.1400
  3.697      -36.1400      -36.1400
  3.713      -36.1400      -36.1400
  3.729      -36.1400      -36.1400
  3.745      -36.1400      -36.1400
  3.745      -36.1400      -36.1400
  3.761      -36.1400      -36.1400
  3.777      -36.1400      -36.1400
  3.793      -36.1400      -36.1400
  3.810      -36.1400      -36.1400
  3.826      -36.1400      -36.1400
  3.842      -36.1400      -36.1400
  3.858      -36.1400      -36.1400
  3.874      -36.1400      -36.1400
  3.890      -36.1400      -36.1400
  3.906      -36.1400      -36.1400
  3.923      -36.1400      -36.1400
  3.939      -36.1400      -36.1400
  3.955      -36.1400      -36.1400
  3.971      -36.1400      -36.1400
  3.987      -36.1400      -36.1400
  4.003      -36.1400      -36.1400
  4.019      -36.1400      -36.1400
  4.035      -36.1400      -36.1400
  4.052      -36.1400      -36.1400
#Band-index    4
  4.052      -36.1400      -36.1400
  4.035      -36.1400      -36.1400
  4.019      -36.1400      -36.1400
  4.003      -36.1400      -36.1400
  3.987      -36.1400      -36.1400
  3.971      -36.1400      -36.1400
  3.955      -36.1400      -36.1400
  3.939      -36.1400      -36.1400
  3.923      -36.1400      -36.1400
  3.906      -36.1400      -36.1400
  3.890      -36.1400      -36.1400
  3.874      -36.1400      -36.1400
  3.858      -36.1400      -36.1400
  3.842      -36.1400      -36.1400
  3.826      -36.1400      -36.1400
  3.810      -36.1400      -36.1400
  3.793      -36.1400      -36.1400
  3.777      -36.1400      -36.1400
  3.761      -36.1400      -36.1400
  3.745      -36.1400      -36.1400
  3.745      -36.1400      -36.1400
  3.729      -36.1400      -36.1400
  3.713      -36.1400      -36.1400
  3.697      -36.1400      -36.1400
  3.681      -36.1400      -36.1400
  3.664      -36.1400      -36.1400
  3.648      -36.1400      -36.1400
  3.632      -36.1400      -36.1400
  3.616      -36.1400      -36.1400
  3.600      -36.1400      -36.1400
  3.584      -36.1400      -36.1400
  3.568      -36.1400      -36.1400
  3.551      -36.1400      -36.1400
  3.535      -36.1400      -36.1400
  3.519      -36.1400      -36.1400
  3.503      -36.1400      -36.1400
  3.487      -36.1400      -36.1400
  3.471      -36.1400      -36.1400
  3.455      -36.1400      -36.1400
  3.438      -36.1400      -36.1400
  3.438      -36.1400      -36.1400
  3.404      -36.1400      -36.1400
  3.370      -36.1400      -36.1400
  3.336      -36.1400      -36.1400
  3.302      -36.1400      -36.1400
  3.268      -36.1400      -36.1400
  3.234      -36.1400      -36.1400
  3.200      -36.1400      -36.1400
  3.165      -36.1400      -36.1400
  3.131      -36.1400      -36.1400
  3.097      -36.1400      -36.1400
  3.063      -36.1400      -36.1400
  3.029      -36.1400      -36.1400
  2.995      -36.1400      -36.1400
  2.961      -36.1400      -36.1400
  2.926      -36.1400      -36.1400
  2.892      -36.1400      -36.1400
  2.858      -36.1400      -36.1400
  2.824      -36.1400      -36.1400
  2.790      -36.1400      -36.1400
  2.790      -36.1400      -36.1400
  2.766      -36.1400      -36.1400
  2.742      -36.1400      -36.1400
  2.717      -36.1400      -36.1400
  2.693      -36.1400      -36.1400
  2.669      -36.1400      -36.1400
  2.645      -36.1400      -36.1400
  2.621      -36.1400      -36.1400
  2.597      -36.1400      -36.1400
  2.573      -36.1400      -36.1400
  2.548      -36.1400      -36.1400
  2.524      -36.1400      -36.1400
  2.500      -36.1400      -36.1400
  2.476      -36.1400      -36.1400
  2.452      -36.1400      -36.1400
  2.428      -36.1400      -36.1400
  2.404      -36.1400      -36.1400
  2.379      -36.1400      -36.1400
  2.355      -36.1400      -36.1400
  2.331      -36.1400      -36.1400
  2.331      -36.1400      -36.1400
  2.307      -36.1400      -36.1400
  2.283      -36.1400      -36.1400
  2.259      -36.1400      -36.1400
  2.235      -36.1400      -36.1400
  2.210      -36.1400      -36.1400
  2.186      -36.1400      -36.1400
  2.162      -36.1400      -36.1400
  2.138      -36.1400      -36.1400
  2.114      -36.1400      -36.1400
  2.090      -36.1400      -36.1400
  2.066      -36.1400      -36.1400
  2.042      -36.1400      -36.1400
  2.017      -36.1400      -36.1400
  1.993      -36.1400      -36.1400
  1.969      -36.1400      -36.1400
  1.945      -36.1400      -36.1400
  1.921      -36.1400      -36.1400
  1.897      -36.1400      -36.1400
  1.873      -36.1400      -36.1400
  1.873      -36.1400      -36.1400
  1.856      -36.1400      -36.1400
  1.840      -36.1400      -36.1400
  1.824      -36.1400      -36.1400
  1.808      -36.1400      -36.1400
  1.792      -36.1400      -36.1400
  1.776      -36.1400      -36.1400
  1.760      -36.1400      -36.1400
  1.743      -36.1400      -36.1400
  1.727      -36.1400      -36.1400
  1.711      -36.1400      -36.1400
  1.695      -36.1400      -36.1400
  1.679      -36.1400      -36.1400
  1.663      -36.1400      -36.1400
  1.647      -36.1400      -36.1400
  1.631      -36.1400      -36.1400
  1.614      -36.1400      -36.1400
  1.598      -36.1400      -36.1400
  1.582      -36.1400      -36.1400
  1.566      -36.1400      -36.1400
  1.566      -36.1400      -36.1400
  1.532      -36.1400      -36.1400
  1.498      -36.1400      -36.1400
  1.464      -36.1400      -36.1400
  1.429      -36.1400      -36.1400
  1.395      -36.1400      -36.1400
  1.361      -36.1400      -36.1400
  1.327      -36.1400      -36.1400
  1.293      -36.1400      -36.1400
  1.259      -36.1400      -36.1400
  1.225      -36.1400      -36.1400
  1.190      -36.1400      -36.1400
  1.156      -36.1400      -36.1400
  1.122      -36.1400      -36.1400
  1.088      -36.1400      -36.1400
  1.054      -36.1400      -36.1400
  1.020      -36.1400      -36.1400
  0.986      -36.1400      -36.1400
  0.951      -36.1400      -36.1400
  0.917      -36.1400      -36.1400
  0.917      -36.1400      -36.1400
  0.893      -36.1400      -36.1400
  0.869      -36.1400      -36.1400
  0.845      -36.1400      -36.1400
  0.821      -36.1400      -36.1400
  0.797      -36.1400      -36.1400
  0.772      -36.1400      -36.1400
  0.748      -36.1400      -36.1400
  0.724      -36.1400      -36.1400
  0.700      -36.1400      -36.1400
  0.676      -36.1400      -36.1400
  0.652      -36.1400      -36.1400
  0.628      -36.1400      -36.1400
  0.604      -36.1400      -36.1400
  0.579      -36.1400      -36.1400
  0.555      -36.1400      -36.1400
  0.531      -36.1400      -36.1400
  0.507      -36.1400      -36.1400
  0.483      -36.1400      -36.1400
  0.459      -36.1400      -36.1400
  0.459      -36.1400      -36.1400
  0.435      -36.1400      -36.1400
  0.410      -36.1400      -36.1400
  0.386      -36.1400      -36.1400
  0.362      -36.1400      -36.1400
  0.338      -36.1400      -36.1400
  0.314      -36.1400      -36.1400
  0.290      -36.1400      -36.1400
  0.266      -36.1400      -36.1400
  0.241      -36.1400      -36.1400
  0.217      -36.1400      -36.1400
  0.193      -36.1400      -36.1400
  0.169      -36.1400      -36.1400
  0.145      -36.1400      -36.1400
  0.121      -36.1400      -36.1400
  0.097      -36.1400      -36.1400
  0.072      -36.1400      -36.1400
  0.048      -36.1400      -36.1400
  0.024      -36.1400      -36.1400
  0.000      -36.1400      -36.1400
#Band-index    5
  0.000      -36.0348      -36.0348
  0.024      -36.0348      -36.0348
  0.048      -36.0348      -36.0348
  0.072      -36.0348      -36.0348
  0.097      -36.0348      -36.0348
  0.121      -36.0348      -36.0348
  0.145      -36.0348      -36.0348
  0.169      -36.0348      -36.0348
  0.193      -36.0348      -36.0348
  0.217      -36.0348      -36.0348
  0.241      -36.0348      -36.0348
  0.266      -36.0348      -36.0348
  0.290      -36.0348      -36.0348
  0.314      -36.0348      -36.0348
  0.338      -36.0348      -36.0348
  0.362      -36.0348      -36.0348
  0.386      -36.0348      -36.0348
  0.410      -36.0348      -36.0348
  0.435      -36.0348      -36.0348
  0.459      -36.0348      -36.0348
  0.459      -36.0348      -36.0348
  0.483      -36.0348      -36.0348
  0.507      -36.0348      -36.0348
  0.531      -36.0348      -36.0348
  0.555      -36.0348      -36.0348
  0.579      -36.0348      -36.0348
  0.604      -36.0348      -36.0348
  0.628      -36.0348      -36.0348
  0.652      -36.0348      -36.0348
  0.676      -36.0348      -36.0348
  0.700      -36.0348      -36.0348
  0.724      -36.0348      -36.0348
  0.748      -36.0348      -36.0348
  0.772      -36.0348      -36.0348
  0.797      -36.0348      -36.0348
  0.821      -36.0348      -36.0348
  0.845      -36.0348      -36.0348
  0.869      -36.0348      -36.0348
  0.893      -36.0348      -36.0348
  0.917      -36.0348      -36.0348
  0.917      -36.0348      -36.0348
  0.951      -36.0348      -36.0348
  0.986      -36.0348      -36.0348
  1.020      -36.0348      -36.0348
  1.054      -36.0348      -36.0348
  1.088      -36.0348      -36.0348
  1.122      -36.0348      -36.0348
  1.156      -36.0348      -36.0348
  1.190      -36.0348      -36.0348
  1.225      -36.0348      -36.0348
  1.259      -36.0348      -36.0348
  1.293      -36.0348      -36.0348
  1.327      -36.0348      -36.0348
  1.361      -36.0348      -36.0348
  1.395      -36.0348      -36.0348
  1.429      -36.0348      -36.0348
  1.464      -36.0348      -36.0348
  1.498      -36.0348      -36.0348
  1.532      -36.0348      -36.0348
  1.566      -36.0348      -36.0348
  1.566      -36.0348      -36.0348
  1.582      -36.0348      -36.0348
  1.598      -36.0348      -36.0348
  1.614      -36.0348      -36.0348
  1.631      -36.0348      -36.0348
  1.647      -36.0348      -36.0348
  1.663      -36.0348      -36.0348
  1.679      -36.0348      -36.0348
  1.695      -36.0348      -36.0348
  1.711      -36.0348      -36.0348
  1.727      -36.0348      -36.0348
  1.743      -36.0348      -36.0348
  1.760      -36.0348      -36.0348
  1.776      -36.0348      -36.0348
  1.792      -36.0348      -36.0348
  1.808      -36.0348      -36.0348
  1.824      -36.0348      -36.0348
  1.840      -36.0348      -36.0348
  1.856      -36.0348      -36.0348
  1.873      -36.0348      -36.0348
  1.873      -36.0348      -36.0348
  1.897      -36.0348      -36.0348
  1.921      -36.0348      -36.0348
  1.945      -36.0348      -36.0348
  1.969      -36.0348      -36.0348
  1.993      -36.0348      -36.0348
  2.017      -36.0348      -36.0348
  2.042      -36.0348      -36.0348
  2.066      -36.0348      -36.0348
  2.090      -36.0348      -36.0348
  2.114      -36.0348      -36.0348
  2.138      -36.0348      -36.0348
  2.162      -36.0348      -36.0348
  2.186      -36.0348      -36.0348
  2.210      -36.0348      -36.0348
  2.235      -36.0348      -36.0348
  2.259      -36.0348      -36.0348
  2.283      -36.0348      -36.0348
